"";"date";"deviceCategory";"sourceMedium";"experimentVariant";"clickButtonOnMain";"sessionDuration"
"1";"2019-11-27";"desktop";"(direct) / (none)";"control";1;123,109764978127
"2";"2019-11-27";"mobile";"maz.com / referral";"test";1;135,604000573899
"3";"2019-11-27";"mobile";"(direct) / (none)";"test";1;134,451016589043
"4";"2019-11-27";"desktop";"google / organic";"test";1;130,691086592426
"5";"2019-11-27";"mobile";"google / organic";"control";1;117,617311178722
"6";"2019-11-27";"mobile";"bernum.com / referral";"test";1;124,619595042562
"7";"2019-11-27";"desktop";"(direct) / (none)";"control";1;126,783909260841
"8";"2019-11-27";"desktop";"sendgrid / banner";"test";1;129,691743429213
"9";"2019-11-27";"mobile";"bernum.com / referral";"test";1;126,208353093893
"10";"2019-11-27";"mobile";"maz.com / referral";"control";1;123,826694428654
"11";"2019-11-27";"tablet";"google / organic";"test";1;135,456358788117
"12";"2019-11-27";"desktop";"google / organic";"control";1;115,836651866417
"13";"2019-11-27";"mobile";"(direct) / (none)";"test";1;135,264288058703
"14";"2019-11-27";"desktop";"maz.com / referral";"test";1;123,18052915344
"15";"2019-11-27";"desktop";"google / organic";"test";1;148,441644956177
"16";"2019-11-27";"mobile";"maz.com / referral";"test";1;125,801576456038
"17";"2019-11-27";"desktop";"blog / table_post";"test";1;140,16725418007
"18";"2019-11-27";"mobile";"bernum.com / referral";"control";1;122,358346424305
"19";"2019-11-27";"desktop";"bernum.com / referral";"test";1;133,155712431167
"20";"2019-11-26";"mobile";"google / organic";"test";1;149,022955032775
"21";"2019-11-26";"desktop";"bernum.com / referral";"control";1;113,976416734734
"22";"2019-11-26";"tablet";"maz.com / referral";"control";1;118,843319077048
"23";"2019-11-26";"mobile";"google / organic";"test";1;143,178857346716
"24";"2019-11-26";"desktop";"(direct) / (none)";"test";1;138,683973606558
"25";"2019-11-26";"mobile";"google / cpc";"test";1;132,293610901647
"26";"2019-11-26";"mobile";"maz.com / referral";"control";1;108,780024959865
"27";"2019-11-26";"mobile";"google / cpc";"test";1;127,533347573631
"28";"2019-11-26";"mobile";"bernum.com / referral";"control";1;118,519932437676
"29";"2019-11-26";"desktop";"google / organic";"control";1;124,894335267831
"30";"2019-11-26";"desktop";"duckduckgo / organic";"control";1;117,33288395898
"31";"2019-11-26";"tablet";"google / organic";"control";1;123,736227363499
"32";"2019-11-26";"mobile";"bernum.com / referral";"control";1;113,847625888033
"33";"2019-11-26";"desktop";"bernum.com / referral";"test";1;147,586427156596
"34";"2019-11-26";"mobile";"maz.com / referral";"control";1;121,954989946834
"35";"2019-11-26";"mobile";"bernum.com / referral";"control";1;122,869544961636
"36";"2019-11-26";"tablet";"google / organic";"control";1;120,804553411699
"37";"2019-11-26";"mobile";"google / organic";"control";1;126,704172570504
"38";"2019-11-26";"desktop";"google / organic";"control";1;126,628127617666
"39";"2019-11-26";"mobile";"blog / table_post";"test";1;136,599380368664
"40";"2019-11-26";"desktop";"(direct) / (none)";"test";1;126,947913031274
"41";"2019-11-26";"mobile";"google / cpc";"control";1;128,560020126425
"42";"2019-11-26";"mobile";"maz.com / referral";"control";1;118,865413873756
"43";"2019-11-26";"mobile";"bernum.com / referral";"control";1;124,391627591582
"44";"2019-11-26";"mobile";"bernum.com / referral";"control";1;129,19672451935
"45";"2019-11-26";"desktop";"bernum.com / referral";"control";1;112,484931461432
"46";"2019-11-26";"desktop";"google / organic";"control";1;123,135079790098
"47";"2019-11-26";"mobile";"google / cpc";"control";1;112,432746082556
"48";"2019-11-26";"desktop";"(direct) / (none)";"test";1;116,534550965061
